question,answer,cleaned_answer
do you have information about calcium,"summary : you have more calcium in your body than any other mineral. calcium has many important jobs. the body stores more than 99 percent of its calcium in the bones and teeth to help make and keep them strong. the rest is throughout the body in blood, muscle and the fluid between cells. your body needs calcium to help muscles and blood vessels contract and expand, to secrete hormones and enzymes and to send messages through the nervous system.     it is important to get plenty of calcium in the foods you eat. foods rich in calcium include       - dairy products such as milk, cheese, and yogurt    - leafy, green vegetables    - fish with soft bones that you eat, such as canned sardines and salmon    - calcium-enriched foods such as breakfast cereals, fruit juices, soy and rice drinks, and tofu. check the product labels.       the exact amount of calcium you need depends on your age and other factors. growing children and teenagers need more calcium than young adults. older women need plenty of calcium to prevent osteoporosis. people who do not eat enough high-calcium foods should take a calcium supplement.    nih: national institutes of health office of dietary supplements","Calcium has many important jobs in the body, including helping to make and keep bones and teeth strong, contracting and expanding muscles and blood vessels, and sending messages through the nervous system. It is important to get plenty of calcium in your diet, which can be found in foods such as dairy products, leafy green vegetables, fish with soft bones, and calcium-enriched foods. The exact amount of calcium needed depends on age and other factors, and people who do not eat enough high-calcium foods may need to take a supplement."
do you have information about cancer alternative therapies,"summary : you have many choices to make about your cancer treatment. one choice you might be thinking about is complementary and alternative medicine (cam). cam is the term for medical products and practices that are not part of standard care. examples of cam therapies are acupuncture, chiropractic, and herbal medicines.    people with cancer may use cam to       - help cope with the side effects of cancer treatments    - ease worries of cancer treatment and related stress    - feel that they are doing something more to help their own care       cam treatments do not work for everyone. some methods, such as acupuncture, might help with nausea, pain and other side effects of cancer treatment. talk to your doctor to make sure that all aspects of your cancer care work together.    nih: national cancer institute","People with cancer may use complementary and alternative medicine (CAM) to help cope with treatment side effects, ease worries and stress, or feel more in control of their care. Examples of CAM therapies include acupuncture, chiropractic, and herbal medicines. Some methods, such as acupuncture, may help with nausea, pain, and other side effects. It's essential to discuss CAM treatments with your doctor to ensure they work with your standard care."
do you have information about cancer chemotherapy,"summary : normally, your cells grow and die in a controlled way. cancer cells keep forming without control. chemotherapy is drug therapy that can kill these cells or stop them from multiplying. however, it can also harm healthy cells, which causes side effects.    during chemotherapy you may have no side effects or just a few. the kinds of side effects you have depend on the type and dose of chemotherapy you get. side effects vary, but common ones are nausea, vomiting, tiredness, pain and hair loss. healthy cells usually recover after chemotherapy, so most side effects gradually go away.    your course of therapy will depend on the cancer type, the chemotherapy drugs used, the treatment goal and how your body responds. you may get treatment every day, every week or every month. you may have breaks between treatments so that your body has a chance to build new healthy cells. you might take the drugs by mouth, in a shot or intravenously.    nih: national cancer institute","Cancer chemotherapy is a drug therapy that kills or stops cancer cells from multiplying. However, it can also harm healthy cells, causing side effects like nausea, vomiting, tiredness, pain, and hair loss. The type and dose of chemotherapy determine the side effects, which usually subside as healthy cells recover. Treatment frequency and method depend on the cancer type, treatment goal, and body response."
do you have information about cancerliving with cancer,"summary : cancer is common. half of all men and a third of women will get a diagnosis of cancer in their lifetime. many people with cancer do survive. millions of americans alive today have a history of cancer.    for most people with cancer, living with the disease is the biggest challenge they have ever faced. it can change your routines, roles and relationships. it can cause money and work problems. the treatment can change the way you feel and look. learning more about ways you can help yourself may ease some of your concerns. support from others is important.    all cancer survivors should have follow-up care. knowing what to expect after cancer treatment can help you and your family make plans, lifestyle changes, and important decisions.    nih: national cancer institute","Cancer is common, with half of all men and a third of women expected to receive a diagnosis in their lifetime. Many people with cancer survive, and millions of Americans are alive today with a history of the disease. Living with cancer can be challenging, changing routines, roles, and relationships, and causing financial and work problems."
do you have information about carbohydrates,"summary : carbohydrates are one of the main types of nutrients. they are the most important source of energy for your body. your digestive system changes carbohydrates into glucose (blood sugar). your body uses this sugar for energy for your cells, tissues and organs. it stores any extra sugar in your liver and muscles for when it is needed.    carbohydrates are called simple or complex, depending on their chemical structure. simple carbohydrates include sugars found naturally in foods such as fruits, vegetables, milk, and milk products. they also include sugars added during food processing and refining. complex carbohydrates include whole grain breads and cereals, starchy vegetables and legumes. many of the complex carbohydrates are good sources of fiber.    for a healthy diet, limit the amount of added sugar that you eat and choose whole grains over refined grains.","Carbohydrates are a main source of energy for the body, broken down into glucose (blood sugar) for energy and stored in the liver and muscles. They are classified as simple or complex, with simple carbohydrates including natural sugars in foods and added sugars, and complex carbohydrates including whole grains, starchy vegetables, and legumes."
do you have information about cardiac rehabilitation,"summary : cardiac rehabilitation (rehab) is a medically supervised program to help people who have       - a heart attack    - angioplasty or coronary artery bypass grafting for coronary heart disease    - a heart valve repair or replacement    - a heart transplant or a lung transplant    - angina    - heart failure       the goal is to help you return to an active life, and to reduce the risk of further heart problems. a team of specialists will create a plan for you that includes exercise training, education on heart healthy living, and counseling to reduce stress. you will learn how to reduce your risk factors, such as high blood pressure, high blood cholesterol, depression, and diabetes. being overweight or obese, smoking, and not exercising are other risk factors.     nih: national heart, lung, and blood institute","Cardiac rehabilitation is a medically supervised program to help people recover from heart-related conditions, such as heart attack, angioplasty, heart valve repair, heart transplant, angina, and heart failure. The goal is to help return to an active life and reduce the risk of further heart problems. A team of specialists creates a personalized plan, including exercise training, education on heart-healthy living, and counseling to reduce stress."
do you have information about caregivers,"summary : caregivers provide help to another person in need. the person receiving care may be an adult - often a parent or a spouse - or a child with special medical needs. some caregivers are family members. others are paid. they do many things:       - shop for food and cook    - clean the house    - pay bills    - give medicine    - help the person go to the toilet, bathe and dress    - help the person eat    - provide company and emotional support       caregiving is hard, and caregivers of chronically ill people often feel stress. they are ""on call"" 24 hours a day, 7 days a week. if you're caring for someone with mental problems like alzheimer's disease  it can be especially difficult. support groups can help.    dept. of health and human services office on women's health","Caregivers provide help to another person in need, doing tasks such as shopping, cleaning, paying bills, giving medicine, and providing emotional support. They may be family members or paid caregivers, and their work can be stressful, especially for those caring for chronically ill people or those with mental health issues like Alzheimer's disease."
do you have information about cervical cancer screening,"summary : the cervix is the lower part of the uterus, the place where a baby grows during pregnancy. cancer screening is looking for cancer before you have any symptoms. cancer found early may be easier to treat.    cervical cancer screening is usually part of a woman's health checkup. there are two types of tests: the pap test and the hpv test. for both, the doctor or nurse collects cells from the surface of the cervix. with the pap test, the lab checks the sample for cancer cells or abnormal cells that could become cancer later. with the hpv test, the lab checks for hpv infection. hpv is a virus that spreads through sexual contact. it can sometimes lead to cancer. if your screening tests are abnormal, your doctor may do more tests, such as a biopsy.    cervical cancer screening has risks. the results can sometimes be wrong, and you may have unnecessary follow-up tests. there are also benefits. screening has been shown to decrease the number of deaths from cervical cancer. you and your doctor should discuss your risk for cervical cancer, the pros and cons of the screening tests, at what age to start being screened, and how often to be screened.","Cervical cancer screening is a test to detect cancer before symptoms appear. It's usually part of a woman's health checkup and involves collecting cells from the cervix. There are two types of tests: the pap test and the HPV test. The pap test checks for cancer cells or abnormal cells, while the HPV test checks for HPV infection, which can lead to cancer. If test results are abnormal, further tests may be needed. While there are risks to screening, it has been shown to decrease cervical cancer deaths."
do you have information about cesarean section,"summary : a cesarean section (c-section) is surgery to deliver a baby. the baby is taken out through the mother's abdomen. in the united states, about one in four women have their babies this way. most c-sections are done when unexpected problems happen during delivery. these include       - health problems in the mother    - the position of the baby     - not enough room for the baby to go through the vagina    - signs of distress in the baby       c-sections are also more common among women carrying more than one baby.    the surgery is relatively safe for mother and baby. still, it is major surgery and carries risks. it also takes longer to recover from a c-section than from vaginal birth. after healing, the incision may leave a weak spot in the wall of the uterus. this could cause problems with an attempted vaginal birth later. however, more than half of women who have a c-section can give vaginal birth later.","A cesarean section (c-section) is surgery to deliver a baby through the mother's abdomen. In the US, about one in four women have their babies this way, usually due to unexpected problems during delivery, such as health issues, baby position, or lack of vaginal room. C-sections are also more common among women carrying multiple babies. While relatively safe, the surgery carries risks and recovery takes longer than vaginal birth."
do you have information about child care,"summary : children's healthy development depends on safe and positive experiences when they are very young. if you work or go to school, you want to know that your child is in good hands while you are away. you may choose in-home care, where the caregiver comes to your home. or your child might go to the caregiver's home. finally, there are child care centers. you need to choose the one that works for your family.     it is important to get to know your child's caregivers. they will be a big part of your child's life. the caregiver's training should involve       - knowledge of how young children learn and grow    - positive, consistent discipline    - knowledge of the signs that a child is sick    - cleanliness and safety practices to help keep kids from getting sick or hurt    - basic first aid","Children's healthy development depends on safe and positive experiences when they are very young. When you're away, you want to know your child is in good hands. You may choose in-home care, child care centers, or a caregiver's home. It's essential to get to know your child's caregivers, who will be a big part of their life."
do you have information about child dental health,"summary : healthy teeth are important to your child's overall health. from the time your child is born, there are things you can do to promote healthy teeth and prevent cavities. for babies, you should clean teeth with a soft, clean cloth or baby's toothbrush. avoid putting the baby to bed with a bottle and check teeth regularly for spots or stains.    for all children, you should       - start using a pea-sized amount of fluoride toothpaste when they are two years old. you might start sooner, if a dentist or doctor suggests it.    - provide healthy foods and limit sweet snacks and drinks    - schedule regular dental check-ups        forming good habits at a young age can help your child have healthy teeth for life.     nih: national institute of dental and craniofacial research","Healthy teeth are important to your child's overall health. To promote healthy teeth and prevent cavities, clean your baby's teeth with a soft cloth or baby toothbrush, avoid bedtime bottles, and check for spots or stains. For all children, use a pea-sized amount of fluoride toothpaste at age 2, provide healthy foods, limit sweet snacks and drinks, and schedule regular dental check-ups."
do you have information about child development,"summary : as children grow older, they develop in several different ways. child development includes physical, intellectual, social, and emotional changes.    children grow and mature at very different rates. it's hard to say what ""normal"" is. there can be big differences in height, weight, and build among healthy children. diet, exercise and genes are all factors. some children begin puberty or are close to it before they are teenagers.    children start to become more independent from their parents. they may rebel. they also look outward - to their friends, who are usually of the same sex. peer approval becomes very important. your child may try new behaviors to be part of ""the group."" this can also be the time that parents or teachers recognize learning disabilities or behavioral problems in children. these problems can get worse as time goes on, so it is important to get help early.","Children develop physically, intellectually, socially, and emotionally at different rates. It's hard to define ""normal"" due to varying heights, weights, and builds among healthy children. Factors like diet, exercise, and genes influence growth. Children may start puberty early or become more independent, seeking peer approval and trying new behaviors to fit in. This can also be a time when learning disabilities or behavioral problems emerge, so early intervention is crucial."
do you have information about child mental health,"summary : it's important to recognize and treat mental illnesses in children early on. once mental illness develops, it becomes a regular part of your child's behavior and is more difficult to treat.    but it's not always easy to know when your child has a serious problem. everyday stresses can cause changes in your child's behavior. for example, getting a new brother or sister or going to a new school may cause a child to temporarily act out. warning signs that it might be a more serious problem include       - problems in more than one setting (at school, at home, with peers)    - changes in appetite or sleep    - social withdrawal or fear of things he or she did not used to be not afraid of    - returning to behaviors more common in younger children, such as bedwetting    - signs of being upset, such as sadness or tearfulness    - signs of self-destructive behavior, such as head-banging or suddenly getting hurt often    - repeated thoughts of death       to diagnose mental health problems, the doctor or mental health specialist looks at your child's signs and symptoms, medical history, and family history. treatments include medicines and talk therapy.    nih: national institute of mental health","Recognizing and treating mental illnesses in children early on is crucial, as it becomes more difficult to treat once it develops. Warning signs of a serious problem include changes in behavior in multiple settings, appetite or sleep changes, social withdrawal, and self-destructive behavior. A doctor or mental health specialist will diagnose mental health problems by examining signs and symptoms, medical history, and family history, and may prescribe medicines or talk therapy."
do you have information about child nutrition,"summary : a healthy diet helps children grow and learn. it also helps prevent obesity and weight-related diseases, such as diabetes. to give your child a nutritious diet       - make half of what is on your child's plate fruits and vegetables    - choose healthy sources of protein, such as lean meat, nuts, and eggs    - serve whole-grain breads and cereals because they are high in fiber. reduce refined grains.    - broil, grill, or steam foods instead of frying them    - limit fast food and junk food    - offer water or milk instead of sugary fruit drinks and sodas       learn about your children's nutrient requirements. some of them, such as the requirements for iron and calcium, change as your child ages.     nih: national institute of diabetes and digestive and kidney diseases","A healthy diet helps children grow and learn, preventing obesity and weight-related diseases. To give your child a nutritious diet, make half of their plate fruits and vegetables, choose healthy protein sources, and serve whole-grain breads and cereals."
do you have information about child safety,"summary : as parents, we want to keep our children safe from harm. take steps to keep your children safe:       - install the right child safety seat in your car    - teach children how to cross the street safely    - make sure they wear the right gear and equipment for sports    - install and test smoke alarms     - store medicines, cleaners and other dangerous substances in locked cabinets    - babyproof your home    - don't leave small children unattended","install the right child safety seat in your car, teach children how to cross the street safely, make sure they wear the right gear and equipment for sports, install and test smoke alarms, store medicines, cleaners and other dangerous substances in locked cabinets, babyproof your home, don't leave small children unattended"
do you have information about childhood immunization,"summary : today, children in the united states routinely get vaccines that protect them from more than a dozen diseases such as measles, polio, tetanus, diphtheria, and pertussis (whooping cough). most of these diseases are now at their lowest levels in history, thanks to years of immunization. children must get at least some vaccines before they may attend school.    vaccines help make you immune to serious diseases without getting sick first. without a vaccine, you must actually get a disease in order to become immune to the germ that causes it. vaccines work best when they are given at certain ages. for example, children don't receive measles vaccine until they are at least one year old. if it is given earlier it might not work as well. the centers for disease control and prevention publishes a schedule for childhood vaccines.    although some of the vaccines you receive as a child provide protection for many years, adults need immunizations too.    centers for disease control and prevention","Children in the US receive vaccines that protect them from over a dozen diseases, such as measles, polio, and pertussis. Most of these diseases are at their lowest levels in history due to years of immunization. Children must receive some vaccines before attending school, and vaccines help make you immune to serious diseases without getting sick first."
do you have information about childrens health,"summary : your child's health includes physical, mental and social well-being. most parents know the basics of keeping children healthy, like offering them healthy foods, making sure they get enough sleep and exercise and insuring their safety.     it is also important for children to get regular checkups with their health care provider. these visits are a chance to check your child's development. they are also a good time to catch or prevent problems.    other than checkups, school-age children should be seen for       - significant weight gain or loss    - sleep problems or change in behavior    - fever higher than 102    - rashes or skin infections    - frequent sore throats    - breathing problems","Children's health includes physical, mental, and social well-being. Parents know the basics of keeping children healthy, such as offering healthy foods, ensuring enough sleep and exercise, and insuring safety. Regular checkups with a healthcare provider are also important to monitor development and catch or prevent problems."
do you have information about childrens page,"summary : kids, this page is for you. learn about everything from how the body works to what happens when you go to the hospital. there are quizzes, games and lots of cool web sites for you to explore. have fun!","This page is for kids, where you can learn about the body, hospitals, and more. There are quizzes, games, and cool websites to explore."
do you have information about chiropractic,"summary : chiropractic is a health care profession. chiropractors perform adjustments (manipulations) to the spine or other parts of the body. the goal is to correct alignment problems, ease pain, and support the body's natural ability to heal itself. they may also use other treatments including        - heat and ice    - electrical stimulation    - relaxation techniques    - rehabilitative and general exercise    - counseling about diet, weight loss, and other lifestyle factors    - dietary supplements       many people visit chiropractors for treatment of low back pain, neck pain, and headaches.    nih: national center for complementary and integrative health","Chiropractic is a healthcare profession that involves performing adjustments (manipulations) to the spine or other parts of the body to correct alignment problems, ease pain, and support the body's natural ability to heal itself. Chiropractors may also use other treatments such as heat and ice, electrical stimulation, relaxation techniques, and rehabilitative exercises."
do you have information about cholesterol,"summary : cholesterol is a waxy, fat-like substance that occurs naturally in all parts of the body. your body needs some cholesterol to work properly. but if you have too much in your blood, it can combine with other substances in the blood and stick to the walls of your arteries. this is called plaque. plaque can narrow your arteries or even block them.    high levels of cholesterol in the blood can increase your risk of heart disease. your cholesterol levels tend to rise as you get older. there are usually no signs or symptoms that you have high blood cholesterol, but it can be detected with a blood test. you are likely to have high cholesterol if members of your family have it, if you are overweight or if you eat a lot of fatty foods.    you can lower your cholesterol by exercising more and eating more fruits and vegetables. you also may need to take medicine to lower your cholesterol.    nih: national heart, lung, and blood institute","Cholesterol is a natural substance in the body that's necessary for proper functioning. However, high levels in the blood can combine with other substances and stick to artery walls, increasing the risk of heart disease. High cholesterol often has no symptoms, but it can be detected with a blood test. Factors that increase the risk of high cholesterol include family history, being overweight, and a diet high in fatty foods. Lowering cholesterol can be achieved through exercise, a healthy diet, and potentially medication."
do you have information about circumcision,"summary : circumcision is the removal of the foreskin, which is the skin that covers the tip of the penis. in the united states, it is often done before a new baby leaves the hospital. there are medical benefits and risks to circumcision. possible benefits include a lower risk of urinary tract infections, penile cancer and sexually transmitted diseases. the risks include pain and a low risk of bleeding or infection.    the american academy of pediatrics (aap) found that the medical benefits of circumcision outweigh the risks. they recommend that parents make this decision in consultation with their pediatrician. parents need to decide what is best for their sons, based on their religious, cultural and personal preferences.","Circumcision is the removal of the foreskin, which covers the tip of the penis. It is often done before a baby leaves the hospital in the US. There are medical benefits and risks, including a lower risk of urinary tract infections, penile cancer, and sexually transmitted diseases, but also pain and a low risk of bleeding or infection. The American Academy of Pediatrics recommends parents make this decision in consultation with their pediatrician, considering religious, cultural, and personal preferences."
do you have information about climate change,"summary : climate is the average weather in a place over a period of time. climate change is major change in temperature, rainfall, snow, or wind patterns lasting for many years. it can be caused by natural factors or by human activities. today climate changes are occurring at an increasingly rapid rate.    climate change can affect our health. it can lead to       - more heat-related illness and deaths    - more pollen, mold, and air pollution. this can cause an increase in allergies, asthma, and breathing problems.    - mosquitoes and other insects that carry diseases spreading to areas that used to be too cold for them.    - more floods and rising sea levels. this can cause an increase in contamination of food and water.    - more extreme weather events, such as hurricanes and wildfires. these can cause death, injuries, stress, and mental health problems.       researchers are studying the best ways to lessen climate change and reduce its impact on our health.    nih: national institute of environmental health sciences","Climate change is a major change in temperature, rainfall, snow, or wind patterns lasting for many years, caused by natural or human factors. It can affect our health by leading to heat-related illnesses, increased allergies and asthma, and the spread of diseases. Climate change can also cause floods, rising sea levels, and extreme weather events, resulting in contamination of food and water, death, injuries, stress, and mental health problems."
do you have information about clinical trials,"summary : clinical trials are research studies that test how well new medical approaches work in people. each study answers scientific questions and tries to find better ways to prevent, screen for, diagnose, or treat a disease. clinical trials may also compare a new treatment to a treatment that is already available.    every clinical trial has a protocol, or action plan, for conducting the trial. the plan describes what will be done in the study, how it will be conducted, and why each part of the study is necessary. each study has its own rules about who can take part. some studies need volunteers with a certain disease. some need healthy people. others want just men or just women.    an institutional review board (irb) reviews, monitors, and approves many clinical trials. it is an independent committee of physicians, statisticians, and members of the community. its role is to       - make sure that the study is ethical    - protect the rights and welfare of the participants    - make sure that the risks are reasonable when compared to the potential benefits       in the united states, a clinical trial must have an irb if it is studying a drug, biological product, or medical device that the food and drug administration (fda) regulates, or it is funded or carried out by the federal government.    nih: national institutes of health","Clinical trials are research studies that test new medical approaches in people to answer scientific questions and find better ways to prevent, diagnose, or treat diseases. Each study has a protocol outlining what will be done, how it will be conducted, and why each part is necessary. The Institutional Review Board (IRB) reviews, monitors, and approves many clinical trials to ensure they are ethical, protect participants' rights, and have reasonable risks compared to potential benefits."
do you have information about cloning,"summary : cloning describes the processes used to create an exact genetic replica of another cell, tissue or organism. the copied material, which has the same genetic makeup as the original, is referred to as a clone. the most famous clone was a scottish sheep named dolly.    there are three different types of cloning:       - gene cloning, which creates copies of genes or segments of dna    - reproductive cloning, which creates copies of whole animals    - therapeutic cloning, which creates embryonic stem cells. researchers hope to use these cells to grow healthy tissue to replace injured or diseased tissues in the human body.       nih: national human genome research institute","Cloning describes the process of creating an exact genetic replica of another cell, tissue, or organism. There are three types of cloning: gene cloning, reproductive cloning, and therapeutic cloning."
do you have information about club drugs,"summary : club drugs are group of psychoactive drugs. they act on the central nervous system and can cause changes in mood, awareness, and how you act. these drugs are often abused by young adults at all-night dance parties, dance clubs, and bars. they include       - methylenedioxymethamphetamine (mdma), also known as ecstasy xtc, x, e, adam, molly, hug beans, and love drug    - gamma-hydroxybutyrate (ghb), also known as g, liquid ecstasy, and soap    - ketamine, also known as special k, k, vitamin k, and jet    - rohypnol, also known as roofies    - methamphetamine, also known as speed, ice, chalk, meth, crystal, crank, and glass    - lysergic acid diethylamide (lsd), also known as acid, blotter, and dots       some of these drugs are approved for certain medical uses. other uses of these drugs are abuse.    club drugs are also sometimes used as ""date rape"" drugs, to make someone unable to say no to or fight back against sexual assault. abusing these drugs can cause serious health problems and sometimes death. they are even more dangerous if you use them with alcohol.     nih: national institute on drug abuse","Club drugs are a group of psychoactive substances that affect the central nervous system, causing changes in mood, awareness, and behavior. They are often abused by young adults at parties, clubs, and bars. Examples of club drugs include MDMA (ecstasy), GHB, ketamine, Rohypnol, methamphetamine, and LSD. While some have approved medical uses, others are abused and can cause serious health problems, even death, especially when used with alcohol."
do you have information about cocaine,"summary : cocaine is a white powder. it can be snorted up the nose or mixed with water and injected with a needle. cocaine can also be made into small white rocks, called crack. crack is smoked in a small glass pipe.    cocaine speeds up your whole body. you may feel full of energy, happy, and excited. but then your mood can change. you can become angry, nervous, and afraid that someone's out to get you. you might do things that make no sense. after the ""high"" of the cocaine wears off, you can ""crash"" and feel tired and sad for days. you also get a strong craving to take the drug again to try to feel better.    no matter how cocaine is taken, it is dangerous. some of the most common serious problems include heart attack and stroke. you are also at risk for hiv/aids and hepatitis, from sharing needles or having unsafe sex. cocaine is more dangerous when combined with other drugs or alcohol.    it is easy to lose control over cocaine use and become addicted. then, even if you get treatment, it can be hard to stay off the drug. people who stopped using cocaine can still feel strong cravings for the drug, sometimes even years later.    nih: national institute on drug abuse","Cocaine is a white powder or small white rocks (crack) that can be snorted, injected, or smoked. It speeds up the body, causing feelings of energy, happiness, and excitement, but can also lead to mood swings, irrational behavior, and a strong craving to use it again. Cocaine is dangerous, increasing the risk of heart attack, stroke, HIV/AIDS, and hepatitis, and can lead to addiction and long-term cravings."
do you have information about cochlear implants,"summary : a cochlear implant is a small, complex electronic device that can help to provide a sense of sound. people who are profoundly deaf or severely hard-of-hearing can get help from them. the implant consists of two parts. one part sits on the outside of the body, behind the ear. a second part is surgically placed under the skin.      an implant does not restore normal hearing. it can help a person understand speech. children and adults can benefit from them.     national institute on deafness and other communication disorders",A cochlear implant is a small electronic device that can help profoundly deaf or severely hard-of-hearing people understand sound. It consists of two parts: one sits behind the ear and the other is surgically placed under the skin.
do you have information about cold and cough medicines,"summary : sneezing, sore throat, a stuffy nose, coughing -- everyone knows the symptoms of the common cold. it is probably the most common illness. in the course of a year, people in the united states suffer 1 billion colds.     what can you do for your cold or cough symptoms? besides drinking plenty of fluids and getting plenty of rest, you may want to take medicines. there are lots of different cold and cough medicines, and they do different things.       - nasal decongestants - unclog a stuffy nose    - cough suppressants - quiet a cough    - expectorants - loosen mucus so you can cough it up     - antihistamines - stop runny noses and sneezing    - pain relievers - ease fever, headaches, and minor aches and pains       here are some other things to keep in mind about cold and cough medicines. read labels, because many cold and cough medicines contain the same active ingredients. taking too much of certain pain relievers can lead to serious injury. do not give cough medicines to children under four, and don't give aspirin to children. finally, antibiotics won't help a cold.    food and drug administration","Sneezing, sore throat, a stuffy nose, and coughing are common symptoms of the common cold. To alleviate symptoms, you can take cold and cough medicines, which come in different forms and functions. These include nasal decongestants, cough suppressants, expectorants, antihistamines, and pain relievers. When taking these medicines, read labels, be aware of potential risks, and do not give them to children under four or use aspirin on children."
do you have information about college health,"summary : college life involves excitement, along with new challenges, risks, and responsibilities. you are meeting new people, learning new things, and making your own decisions. it can sometimes be stressful. you have to deal with pressures related to food, drink, appearance, drugs, and sexual activity.    there are steps you can take to stay healthy and safe while you're in college:       - eat a balanced diet    - get enough sleep    - get regular physical activity    - maintain your health with checkups and vaccinations    - if you decide to have sex, practice safe sex    - make smart choices about alcohol and drugs    - get help if you are stressed or depressed       centers for disease control and prevention","College life involves excitement and new challenges, but also risks and responsibilities. To stay healthy and safe, take steps such as eating a balanced diet, getting enough sleep, exercising regularly, and practicing safe sex. Make smart choices about alcohol and drugs, and seek help if you're stressed or depressed."
do you have information about colonoscopy,"summary : colonoscopy and sigmoidoscopy are procedures that let your doctor look inside your large intestine. they use instruments called scopes. scopes have a tiny camera attached to a long, thin tube. the procedures let your doctor see things such as inflamed tissue, abnormal growths, and ulcers.     colonoscopy checks your entire colon and rectum. sigmoidoscopy checks the rectum and the lower colon only.    your doctor may recommend one of these procedures       - to look for early signs of cancer in the colon and rectum. it may be part of a routine screening, which usually starts at age 50.    - to look for causes of unexplained changes in bowel habits    - to evaluate symptoms like abdominal pain, rectal bleeding, and weight loss       your doctor can also remove polyps from your colon during these procedures.    you will get written bowel prep instructions to follow at home before the procedure. the bowel prep cleans out the intestine so your doctor can see everything clearly. during a colonoscopy, you get medicines to keep you relaxed. you usually do not need them for a sigmoidoscopy.    nih: national institute of diabetes and digestive and kidney diseases","Colonoscopy and sigmoidoscopy are procedures that allow your doctor to examine your large intestine using a scope with a tiny camera. Colonoscopy checks the entire colon and rectum, while sigmoidoscopy checks the rectum and lower colon. These procedures can help diagnose cancer, unexplained changes in bowel habits, and symptoms like abdominal pain, rectal bleeding, and weight loss. Your doctor may also remove polyps during the procedure."
do you have information about common infant and newborn problems,"summary : it is hard when your baby is sick. common health problems in babies include colds, coughs, fevers, and vomiting. babies also commonly have skin problems, like diaper rash or cradle cap.    many of these problems are not serious. it is important to know how to help your sick baby, and to know the warning signs for more serious problems. trust your intuition - if you are worried about your baby, call your health care provider right away.","Common health problems in babies include colds, coughs, fevers, and vomiting, as well as skin issues like diaper rash and cradle cap. Many of these issues are not serious, but it's crucial to know how to help your sick baby and recognize warning signs for more serious problems."
do you have information about complementary and integrative medicine,"summary : many americans use medical treatments that are not part of mainstream medicine. when you are using these types of care, it may be called complementary, integrative, or alternative medicine.    complementary medicine is used together with mainstream medical care. an example is using acupuncture to help with side effects of cancer treatment. when health care providers and facilities offer both types of care, it is called integrative medicine. alternative medicine is used instead of mainstream medical care.    the claims that non-mainstream practitioners make can sound promising. however, researchers do not know how safe many of these treatments are or how well they work. studies are underway to determine the safety and usefulness of many of these practices.    to minimize the health risks of a non-mainstream treatment       - discuss it with your doctor. it might have side effects or interact with other medicines.    - find out what the research says about it    - choose practitioners carefully    - tell all of your doctors and practitioners about all of the different types of treatments you use       nih: national center for complementary and integrative health","Many Americans use medical treatments not part of mainstream medicine, known as complementary, integrative, or alternative medicine. Complementary medicine is used together with mainstream care, such as using acupuncture to help with cancer treatment side effects. Integrative medicine offers both types of care, while alternative medicine replaces mainstream care. However, the safety and effectiveness of many non-mainstream treatments are unknown, and researchers are studying their safety and usefulness. To minimize risks, discuss with your doctor, research the treatment, choose practitioners carefully, and inform all doctors and practitioners about all treatments used."
do you have information about coping with disasters,"summary : no matter how well you have prepared, you might feel dazed or numb after going through a disaster. you may also feel sad, helpless, or anxious. in spite of the tragedy, you might just feel happy to be alive.    it is not unusual to have bad memories or dreams. you may avoid places or people that remind you of the disaster. you might have trouble sleeping, eating, or paying attention. many people have short tempers and get angry easily. these are all normal reactions to stress.    sometimes the stress can be too much to handle alone. some people have long-term problems after a disaster, including       -  post-traumatic stress disorder    -  depression    -  self-blame    -  suicidal thoughts    -  alcohol or drug abuse       if your emotional reactions are getting in the way of your relationships, work, or other important activities, talk to a counselor or your doctor. treatments are available.    centers for disease control and prevention","After going through a disaster, you may feel dazed, sad, helpless, or anxious. It's normal to have bad memories or dreams, avoid places or people that remind you of the disaster, and experience trouble sleeping, eating, or paying attention. Some people may have short tempers or get angry easily. If these reactions are affecting your daily life, consider talking to a counselor or doctor for available treatments."
do you have information about coronary artery bypass surgery,"summary : in coronary artery disease (cad), the arteries that supply blood and oxygen to your heart muscle grow hardened and narrowed. you may try treatments such as lifestyle changes, medicines, and angioplasty, a procedure to open the arteries. if these treatments don't help, you may need coronary artery bypass surgery.    the surgery creates a new path for blood to flow to the heart. the surgeon takes a healthy piece of vein from the leg or artery from the chest or wrist. then the surgeon attaches it to the coronary artery, just above and below the narrowed area or blockage. this allows blood to bypass (get around) the blockage. sometimes people need more than one bypass.    the results of the surgery usually are excellent. many people remain symptom-free for many years. you may need surgery again if blockages form in the grafted arteries or veins or in arteries that weren't blocked before. lifestyle changes and medicines may help prevent arteries from becoming clogged again.    nih: national heart, lung, and blood institute","In coronary artery disease, the arteries that supply blood to the heart muscle grow hardened and narrowed. Treatments like lifestyle changes, medicines, and angioplasty may not be effective, leading to the need for coronary artery bypass surgery. The surgery creates a new path for blood flow by attaching a healthy vein or artery to the coronary artery, bypassing the blockage. The results are usually excellent, with many people remaining symptom-free for many years."
